model,run_name,max_vocab_size,max_seq_len,embed_dim,num_filters,filter_sizes,dropout,batch_size,learning_rate,num_epochs,freeze_embeddings,train_accuracy,train_f1,val_accuracy,val_f1,test_accuracy,test_f1
TextCNN,bs32_do0.8_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.8,32,0.0005,5,False,0.8874756502807379,0.8473128118205476,0.8680641183723797,0.820309872177781,0.8640323045860975,0.8141526744259512
TextCNN,bs32_do0.8_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.8,32,0.0005,5,False,0.8889816497241729,0.8493172087403433,0.8677278332025558,0.8185837288248797,0.8657052206518604,0.8164336092204758
TextCNN,bs32_do0.8_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.8,32,0.0005,5,False,0.8877211936682545,0.8486478449650985,0.8670552628629078,0.819787585487279,0.8673781367176233,0.8203551970208319
TextCNN,bs32_do0.8_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.8,32,0.0005,5,False,0.8892108235525217,0.8496119832698773,0.8689608788252438,0.8211041183776002,0.8659359676954139,0.8173677120143958
TextCNN,bs32_do0.8_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.8,32,0.001,5,False,0.8982795593314672,0.8628289715497006,0.8700818293913238,0.8240072583757025,0.8685895586962792,0.8216810526736033
TextCNN,bs32_do0.8_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.8,32,0.001,5,False,0.8872955851298925,0.847110130535213,0.8681762134289878,0.8192599160119722,0.865186039803865,0.8159794070823162
TextCNN,bs32_do0.8_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.8,32,0.001,5,False,0.8964789078230123,0.8596560805486183,0.8712027799574039,0.823110730601918,0.8657629074127488,0.8161596278630686
TextCNN,bs32_do0.8_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.8,32,0.001,5,False,0.8992781024407013,0.8628389355175079,0.8658222172402197,0.8141561200697568,0.8648399192385348,0.813018902151252
TextCNN,bs64_do0.5_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,64,0.0005,5,False,0.8991307764081913,0.8638003667921893,0.8684004035422038,0.8211694751419194,0.86962792039227,0.8232959638053975
TextCNN,bs64_do0.5_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.5,64,0.0005,5,False,0.8922064528802239,0.8549740782345898,0.8687366887120278,0.822554231518024,0.8678973175656187,0.8221471057285555
